content_id,subject,sentiment_value,sentiment_word
01htTx8jcsqp3CYr,动力,-1,
01kgxZUTtfODp2hr,动力,-1,
03wYj5KyOnLcmbHe,动力,-1,
056sXLUenx1pItMv,动力,-1,
05JqRAdHXSsbxWvr,动力,-1,
0653EkFWJzSYsP7w,动力,-1,
06H4OMfwaG1xoqFb,动力,-1,
06iTfdx8yo1OmEZq,动力,-1,
06vJk25tLPqSAOp1,动力,-1,
06vPIQBqVNe2dl3f,动力,-1,
073DfApbZlcJ1tWE,动力,-1,
09hwsk7P5cvaVKXg,动力,-1,
0AghVaU3zovyfZK6,动力,-1,
0aKUsYjmWXVMlc1w,动力,-1,
0aNFWEteHpDCxqj2,动力,-1,
0aPkxUi8QZB49jAq,动力,-1,
0AsYm8O6JBuqCh73,动力,-1,
0AsYm8O6JBuqCh73,动力,-1,
0aUM14td75FBNEfl,动力,-1,
0aUzxbsfLNnljZMS,动力,-1,
0avxYXt4Ld2TDHVq,动力,-1,
0BCubTaSJ4V7jGAd,动力,-1,
0BCubTaSJ4V7jGAd,动力,-1,
0BvCpAUIK2TVrbl8,动力,-1,
0dfh6vX5ZxrRSjqQ,动力,-1,
0EAkf51SzTLG6ghq,动力,-1,
0EAkf51SzTLG6ghq,动力,-1,
0EkBRAYPsfOTt4z3,动力,-1,
0elCG69Ygt8Pn4hT,动力,-1,
0euRkBO8AwisjYTJ,动力,-1,
0evmp72SRax4Tquw,动力,-1,
0F8ytidf6PamDRGX,动力,-1,
0FhVawIBEuy3rkZt,动力,-1,
0Flnd8hRq7C9kLGP,动力,-1,
0futiKXa5Eon9OBI,动力,-1,
0g58m1hpyZjdksD4,动力,-1,
0GaZuph6FqvTHYKg,动力,-1,
0gKMWbXrF2qyRTEk,动力,-1,
0goOzYUThjRQ5B2y,动力,-1,
0gP1SuYKHVjDUZXN,动力,-1,
0GtHsUD3ikzZoX5q,动力,-1,
0gTQCnKUoP9zv5mS,动力,-1,
0hcGSNLWQne3kuqE,动力,-1,
0HR9mNhn3dzgXr1F,动力,-1,
0IRxNGSPiKg71oY4,动力,-1,
0iSwPD64tGvsAogc,动力,-1,
0IVPXJjFT6mMQvR8,动力,-1,
0jTdQIPg6ZaLp57O,动力,-1,
0kZfMDNlHSXTwoVb,动力,-1,
0L9oFv53GRgAKxZO,动力,-1,
0lDiXVGqkezETMvb,动力,-1,
0lIuJGehVMFN3YQR,动力,-1,
0lY1N5m9ForC4sjw,动力,-1,
0m3DxdfAIcgnE4kM,动力,-1,
0nIAjDeH84L1uSkb,动力,-1,
0nPKSdI4lmUEv6u3,动力,-1,
0oj9xOc1bdiVTDmI,动力,-1,
0pGMcY4nAIeV2xqW,动力,-1,
0pJnq2mEzhHZ3Arv,动力,-1,
0PkqaRMTlJwYhgH7,动力,-1,
0PLuvKeUR7rkHsot,动力,-1,
0qKQsSZMWBugPekR,动力,-1,
0RD2OSET4WNFQcYr,动力,-1,
0rdH5sbR7CteoOUW,动力,-1,
0SpZ2tHfBg8dLkRc,动力,-1,
0suojbqVSYImN6d8,动力,-1,
0SwhJdO4HzX3MF6s,动力,-1,
0sx7Mr5RtQaT1Obg,动力,-1,
0T2YuZpFsABCybz7,动力,-1,
0tVHv4SZnlkuoIwg,动力,-1,
0U5V2ablhdEfK4GF,动力,-1,
0UFPpKZAuO58jTk1,动力,-1,
0UjRrg1oJKOlsDZy,动力,-1,
0uzRerwNi3KJ7L1F,动力,-1,
0VapY68qAvofEUgt,动力,-1,
0veEh8GcN4oBMRO2,动力,-1,
0veEh8GcN4oBMRO2,动力,-1,
